Dataset,SiteCode,SiteCode_rev,Core_site,GPS_match,Old_RLS_SiteCode,SiteName,SiteName_rev,SiteLatitude,SiteLongitude,SiteLatitude_rev,SiteLongitude_rev,LocationName,Loc_new,MPA,Country,State,Ecoregion,Province,Realm,Zone name,NEOLI Total,No-take,Effectiveness_NEOLI,Isolation_NEOLI,area,Age,Zone,Effectiveness,No take multizoned, year of protection, area (km2), perimeter length (km), offshore extent (km),Distance to boundary (km),Artificial habitat,Isolation,WaveExposure,Relief,Slope,Currents,Measured,Estuary
RLS,PAC29,PAC29,,,,Ofu Harbour entrance N,Ofu Harbour entrance N,-14.15962,-169.68162,-14.15962,-169.68162,American Samoa,American Samoa,,American Samoa,Olosega,Samoa Islands,Central Polynesia,Eastern Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,3,2,2,3,1,0
RLS,PAC26,PAC26,,,,Ofu Harbour entrance S,Ofu Harbour entrance S,-14.1637,-169.68516,-14.1637,-169.68516,American Samoa,American Samoa,,American Samoa,Olosega,Samoa Islands,Central Polynesia,Eastern Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,3,2,3,2,1,0
RLS,PAC27,PAC27,,,,Foisia Island N,Foisia Island N,-14.16394,-169.68718,-14.16394,-169.68718,American Samoa,American Samoa,,American Samoa,Olosega,Samoa Islands,Central Polynesia,Eastern Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,3,3,3,3,1,0
RLS,PAC33,PAC33,,,,Ofu Harbour,Ofu Harbour,-14.1644,-169.68301,-14.1644,-169.68301,American Samoa,American Samoa,,American Samoa,Olosega,Samoa Islands,Central Polynesia,Eastern Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,1,4,1,3,1,0
RLS,PAC28,PAC28,,,,Foisia Island W,Foisia Island W,-14.16807,-169.68574,-14.16807,-169.68574,American Samoa,American Samoa,,American Samoa,Olosega,Samoa Islands,Central Polynesia,Eastern Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,3,4,3,3,1,0
RLS,PAC32,PAC32,,,,Foisa Island S,Foisa Island S,-14.16952,-169.68672,-14.16952,-169.68672,American Samoa,American Samoa,,American Samoa,Olosega,Samoa Islands,Central Polynesia,Eastern Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,3,2,3,3,1,0
RLS,PAC31,PAC31,,,,Foisa Island S Rock,Foisa Island S Rock,-14.17125,-169.68514,-14.17125,-169.68514,American Samoa,American Samoa,,American Samoa,Olosega,Samoa Islands,Central Polynesia,Eastern Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,3,3,2,2,1,0
RLS,PAC30,PAC30,,,,Ofu National Park,Ofu National Park,-14.17817,-169.65513,-14.17817,-169.65513,American Samoa,American Samoa,,American Samoa,Olosega,Samoa Islands,Central Polynesia,Eastern Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,1,2,1,3,1,0
RLS,PAC42,PAC42,,,,Pago Pago Harbour east,Pago Pago Harbour east,-14.28339,-170.66541,-14.28339,-170.66541,American Samoa,American Samoa,,American Samoa,Tutuila,Samoa Islands,Central Polynesia,Eastern Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,2,2,4,3,1,0
RLS,PAC43,PAC43,,,,Pago Pago Harbour west,Pago Pago Harbour west,-14.28387,-170.67467,-14.28387,-170.67467,American Samoa,American Samoa,,American Samoa,Tutuila,Samoa Islands,Central Polynesia,Eastern Indo-Pacific,,,,,,,,,,Fishing,,,,,,,,2,2,4,3,1,0
RLS,PAC41,PAC41,,,,Rose Atoll north point,Rose Atoll north point,-14.53066,-168.15526,-14.53066,-168.15526,Rose Atoll,American Samoa,Rose Atoll National Monument,American Samoa,Rose Atoll,Samoa Islands,Central Polynesia,Eastern Indo-Pacific,Rose Atoll National Monument,3,0,1,1,1,0,Rose Atoll National Monument,High,Restricted take,2009,5190,250,80,-0.1,,,3,3,3,3,1,0
RLS,PAC40,PAC40,,,,Rose Atoll passage outlet N,Rose Atoll passage outlet N,-14.53308,-168.1567,-14.53308,-168.1567,Rose Atoll,American Samoa,Rose Atoll National Monument,American Samoa,Rose Atoll,Samoa Islands,Central Polynesia,Eastern Indo-Pacific,Rose Atoll National Monument,3,0,1,1,1,0,Rose Atoll National Monument,High,Restricted take,2009,5190,250,80,-0.1,,,2,3,3,4,1,0
RLS,PAC34,PAC34,,,,Rose Atoll entrance,Rose Atoll entrance,-14.5348,-168.16045,-14.5348,-168.16045,Rose Atoll,American Samoa,Rose Atoll National Monument,American Samoa,Rose Atoll,Samoa Islands,Central Polynesia,Eastern Indo-Pacific,Rose Atoll National Monument,3,0,1,1,1,0,Rose Atoll National Monument,High,Restricted take,2009,5190,250,80,-0.1,,,3,2,3,3,1,0
RLS,PAC38,PAC38,,,,Rose Atoll entrance bommie,Rose Atoll entrance bommie,-14.53794,-168.15357,-14.53794,-168.15357,Rose Atoll,American Samoa,Rose Atoll National Wildlife Refuge,American Samoa,Rose Atoll,Samoa Islands,Central Polynesia,Eastern Indo-Pacific,Rose Atoll National Wildlife Refuge,3,1,1,0,0,1,Rose Atoll National Wildlife Refuge,High,No take,1973,6.37,10,2,0.4,,1,1,4,3,3,1,0
RLS,PAC39,PAC39,,,,Rose Atoll bommie 4,Rose Atoll bommie 4,-14.54156,-168.15939,-14.54156,-168.15939,Rose Atoll,American Samoa,Rose Atoll National Wildlife Refuge,American Samoa,Rose Atoll,Samoa Islands,Central Polynesia,Eastern Indo-Pacific,Rose Atoll National Wildlife Refuge,3,1,1,0,0,1,Rose Atoll National Wildlife Refuge,High,No take,1973,6.37,10,2,1,,1,1,4,3,2,1,0
RLS,PAC37,PAC37,,,,Rose Atoll bommie 3,Rose Atoll bommie 3,-14.54343,-168.16185,-14.54343,-168.16185,Rose Atoll,American Samoa,Rose Atoll National Wildlife Refuge,American Samoa,Rose Atoll,Samoa Islands,Central Polynesia,Eastern Indo-Pacific,Rose Atoll National Wildlife Refuge,3,1,1,0,0,1,Rose Atoll National Wildlife Refuge,High,No take,1973,6.37,10,2,1.5,,1,1,4,3,2,1,0
RLS,PAC36,PAC36,,,,Rose Atoll bommie 2 wreck,Rose Atoll bommie 2 wreck,-14.54895,-168.15986,-14.54895,-168.15986,Rose Atoll,American Samoa,Rose Atoll National Wildlife Refuge,American Samoa,Rose Atoll,Samoa Islands,Central Polynesia,Eastern Indo-Pacific,Rose Atoll National Wildlife Refuge,3,1,1,0,0,1,Rose Atoll National Wildlife Refuge,High,No take,1973,6.37,10,2,1.8,,1,1,4,3,2,1,0
RLS,PAC35,PAC35,,,,Rose Atoll bommie 1 wreck,Rose Atoll bommie 1 wreck,-14.54903,-168.16197,-14.54903,-168.16197,Rose Atoll,American Samoa,Rose Atoll National Wildlife Refuge,American Samoa,Rose Atoll,Samoa Islands,Central Polynesia,Eastern Indo-Pacific,Rose Atoll National Wildlife Refuge,3,1,1,0,0,1,Rose Atoll National Wildlife Refuge,High,No take,1973,6.37,10,2,1.8,,1,1,4,3,2,1,0
RLS,ANT8,ANT8,,,,Shacks crack,Shacks crack,-67.55458,-68.19718,-67.55458,-68.19718,Adelaide Island,Antarctica,,Antarctica,Graham Land Antarctica,Antarctic Peninsula,Scotia Sea,Southern Ocean,,,,,,,,,,Fishing,,,,,,,,,,,,0,0
RLS,ANT1,ANT1,,,,South Cove South of T310m,South Cove South of T310m,-67.5697,-68.1319,-67.5697,-68.1319,Adelaide Island,Antarctica,,Antarctica,Graham Land Antarctica,Antarctic Peninsula,Scotia Sea,Southern Ocean,,,,,,,,,,Fishing,,,,,,,,,,,,0,0
RLS,ANT3,ANT3,,,,Couth Cove End Runway,Couth Cove End Runway,-67.57,-68.13,-67.57,-68.13,Adelaide Island,Antarctica,,Antarctica,Graham Land Antarctica,Antarctic Peninsula,Scotia Sea,Southern Ocean,,,,,,,,,,Fishing,,,,,,,,,,,,0,0
RLS,ANT2,ANT2,,,,South Cove South,South Cove South,-67.57045,-68.1327,-67.57045,-68.1327,Adelaide Island,Antarctica,,Antarctica,Graham Land Antarctica,Antarctic Peninsula,Scotia Sea,Southern Ocean,,,,,,,,,,Fishing,,,,,,,,,,,,0,0
RLS,ANT4,ANT4,,,,End Runway,End Runway,-67.5717,-68.1312,-67.5717,-68.1312,Adelaide Island,Antarctica,,Antarctica,Graham Land Antarctica,Antarctic Peninsula,Scotia Sea,Southern Ocean,,,,,,,,,,Fishing,,,,,,,,,,,,0,0
